Feature1,Feature2,Feature3,Feature4
694,287,306,811
593,965,913,722
661,548,351,311
872,58,642,923
713,754,34,444
92,949,958,206
352,902,331,816
861,724,158,953
956,23,403,804
515,731,363,381
531,955,151,561
688,946,607,616
419,249,116,865
511,739,577,334
417,931,773,294
937,754,370,185
245,636,267,642
236,529,551,20
910,736,866,793
519,99,751,477
598,297,939,525
333,1,374,292
836,933,552,317
501,827,380,622
13,503,230,984
83,129,742,837
144,890,856,27
65,162,228,260
448,423,459,951
675,300,918,302
286,394,9,706
629,269,591,969
604,777,843,861
360,256,132,275
775,682,971,512
312,575,885,979
283,120,106,932
686,996,203,164
304,496,631,555
823,155,366,718
901,619,250,956
915,881,333,641
968,510,292,19
281,796,0,118
34,197,484,756
58,836,160,690
205,11,489,275
692,241,215,250
810,125,993,216
305,796,184,38
222,183,494,426
177,918,427,293
851,150,383,637
812,307,335,945
745,891,374,7
340,128,775,668
351,357,516,494
85,174,801,192
310,118,217,426
969,413,113,977
144,537,647,302
743,880,587,986
839,344,813,963
800,0,146,286
975,653,52,303
68,360,601,957
219,961,703,965
574,584,160,680
88,687,780,584
756,588,158,488
970,323,609,380
101,493,643,613
18,453,481,593
396,278,850,364
330,640,343,821
454,600,724,654
64,75,710,142
916,914,827,604
472,416,304,735
496,290,939,101
985,266,866,967
621,973,841,961
941,776,2,84
793,327,815,449
453,923,628,220
153,664,11,132
993,303,292,974
299,739,782,42
943,342,325,813
497,363,890,426
20,406,618,335
814,116,123,398
792,803,714,50
782,323,788,140
469,786,801,333
892,963,372,563
493,538,668,750
155,290,647,143
105,419,669,657
1,944,588,643
89,344,349,458
262,350,107,585
38,908,158,582
958,311,240,937
444,297,951,35
83,451,885,774
821,384,171,375
684,361,558,890
140,886,917,117
276,725,219,904
25,520,782,9
983,377,632,636
681,583,151,719
48,153,858,292
579,49,663,530
611,59,166,201
856,145,914,675
969,992,438,241
580,686,560,482
107,225,672,630
660,976,661,431
804,654,418,987
454,159,522,649
968,589,76,508
440,253,920,769
319,802,262,596
657,834,553,373
636,166,936,752
458,998,279,699
301,530,579,217
101,553,287,166
620,35,743,740
352,675,898,72
647,352,890,69
424,998,707,780
560,827,641,955
516,427,538,159
148,775,229,711
561,66,811,380
57,258,341,837
129,726,171,769
613,208,802,353
470,797,115,263
661,811,441,547
452,844,476,286
302,310,207,617
445,669,632,54
911,11,656,399
907,647,979,514
655,541,236,278
347,626,103,629
516,979,871,247
363,320,632,285
148,83,965,405
977,455,742,799
160,783,459,549
499,737,508,653
803,480,662,113
748,577,360,340
769,986,760,968
448,842,834,179
701,406,665,195
465,310,261,418
405,938,142,341
315,100,243,489
11,238,560,41
677,593,428,802
157,215,669,461
133,66,847,6
947,525,72,398
404,674,577,858
129,930,465,205
787,977,767,265
536,961,792,252
821,288,163,94
781,832,109,335
821,237,380,435
898,482,936,901
24,652,116,481
391,916,993,963
536,78,579,172
955,11,799,127
607,91,652,542
845,531,657,988
827,446,389,671
860,42,253,129
59,662,466,286
516,466,929,777
344,641,381,778
689,252,926,55
462,456,982,82
904,98,148,328
155,189,493,882
262,79,399,763
608,259,771,614
551,784,100,358
379,819,220,819
419,123,421,230
689,62,484,627
702,573,767,482
518,154,91,981
525,454,740,597
644,509,182,385
573,730,404,245
741,590,660,649
470,825,887,422
900,64,12,212
985,241,492,212
692,337,996,172
671,163,464,994
496,699,394,702
916,307,767,182
628,793,509,707
545,563,623,763
593,743,226,744
732,435,924,421
553,20,553,396
624,104,191,16
119,392,424,128
129,571,559,28
96,9,241,825
955,231,788,283
714,758,801,775
954,725,199,944
78,912,955,854
855,172,466,580
415,939,448,86
100,7,844,199
504,86,42,384
620,434,407,482
663,16,644,147
276,231,825,926
365,227,650,435
398,210,390,498
539,562,490,441
260,772,349,351
519,319,137,549
622,991,367,219
336,222,647,767
359,920,328,961
462,945,962,560
803,381,835,589
616,168,216,377
118,189,766,369
777,148,675,651
858,487,769,373
780,692,159,350
911,287,287,891
225,522,521,782
272,935,401,182
968,664,487,826
845,123,984,625
789,413,979,724
171,287,434,685
112,887,916,994
121,543,221,630
38,496,779,232
942,529,148,396
660,637,903,301
359,237,646,662
235,735,202,255
597,661,234,344
533,859,796,780
465,769,540,212
462,435,282,561
606,462,406,87
43,460,277,682
420,700,352,695
514,702,629,18
22,412,29,806
107,366,280,127
228,110,135,361
185,655,583,128
875,260,514,448
899,103,482,223
831,873,865,490
472,9,404,895
301,230,730,922
65,936,111,12
392,499,931,597
233,601,313,565
11,208,973,13
632,417,436,376
19,586,911,754
734,69,823,210
100,697,131,622
380,131,19,905
535,226,153,804
741,468,821,999
870,404,201,37
941,771,187,56
940,19,272,118
582,515,220,525
514,727,740,335
697,54,499,899
887,765,535,161
669,593,914,158
187,59,914,816
318,877,210,405
663,108,75,541
313,997,116,926
867,703,18,431
684,739,349,182
112,182,480,145
830,627,112,762
475,762,302,970
824,117,812,160
400,197,259,659
751,46,986,398
709,558,77,123
74,870,136,601
399,836,504,499
572,137,49,770
972,618,624,861
253,629,709,848
876,562,756,914
425,546,301,921
580,348,831,932
979,48,916,73
703,260,355,581
601,259,637,742
294,930,640,791
312,611,837,808
181,685,827,363
187,568,542,595
663,984,547,724
925,407,875,617
413,341,219,902
162,950,219,269
631,905,847,399
181,990,617,728
204,581,555,840
812,227,695,618
595,849,249,874
440,532,195,689
928,986,518,69
638,398,977,671
759,202,147,471
654,943,198,916
425,665,491,887
895,141,312,164
313,20,81,580
130,598,729,932
983,304,914,370
856,852,383,907
444,424,160,177
628,707,894,489
326,597,288,592
663,572,572,353
27,953,42,680
422,597,176,528
609,965,493,197
609,576,841,852
516,513,21,111
56,65,841,97
143,879,434,636
678,85,587,343
935,293,955,570
649,610,703,242
830,560,959,31
390,276,531,153
382,67,877,883
213,654,375,743
212,78,725,627
603,781,922,380
679,57,795,25
880,446,65,920
759,253,898,967
43,96,553,226
773,678,435,790
600,378,177,426
914,708,306,778
503,267,585,7
919,507,475,296
163,484,596,71
566,904,558,910
943,237,103,209
553,827,467,453
267,385,774,847
386,876,258,282
625,874,39,485
928,219,128,519
612,927,891,687
618,612,259,989
965,365,757,786
543,648,523,906
813,886,15,128
574,108,886,532
669,268,161,259
923,101,505,734
570,246,639,794
836,536,130,352
195,792,915,929
665,381,644,226
700,475,476,264
371,485,433,645
210,571,939,376
394,449,942,363
875,456,724,727
225,981,130,587
475,797,985,276
155,759,217,189
416,980,674,691
545,40,306,942
337,313,74,952
278,175,895,661
272,836,619,650
861,782,858,930
288,723,892,271
929,65,482,935
247,155,46,934
453,200,659,123
0,967,758,854
639,190,578,515
441,920,814,805
142,190,532,226
312,628,948,301
653,995,459,400
550,392,866,763
844,206,209,114
736,645,250,218
406,442,602,353
887,557,549,141
611,500,839,701
546,658,541,845
506,595,880,280
423,855,269,153
613,726,661,943
82,621,946,898
425,274,712,283
979,172,326,717
62,72,762,635
374,632,507,786
942,397,119,933
436,828,675,935
464,285,264,319
672,375,819,88
653,202,820,738
954,333,221,40
707,67,987,775
513,872,636,621
597,936,631,126
254,694,15,476
61,880,431,669
267,34,778,575
493,561,468,766
660,324,303,275
868,962,683,928
200,444,904,323
34,976,481,727
479,64,7,300
342,430,423,331
437,587,173,558
526,872,658,25
819,604,405,231
532,818,549,787
504,668,178,131
822,454,347,539
771,405,75,940
578,853,491,193
983,161,346,950
360,768,583,86
933,261,213,664
721,912,572,779
261,729,282,647
466,379,361,448
440,92,620,752
866,423,141,290
431,748,851,823
688,652,700,997
48,301,880,189
135,554,403,891
864,601,806,340
756,944,703,317
617,362,821,381
232,776,343,548
816,552,528,855
788,818,570,934
182,40,550,396
703,778,493,658
906,332,126,557
556,0,167,619
18,331,583,455
956,108,267,444
239,928,300,601
102,987,249,452
519,152,858,173
342,669,430,726
688,686,851,849
657,961,323,989
672,638,419,593
484,658,750,411
935,83,112,736
331,377,754,654
40,934,769,958
796,104,201,449
818,842,972,265
909,209,562,117
712,376,550,539
770,83,453,666
628,513,604,677
386,911,349,295
257,80,936,267
418,234,832,310
812,974,985,356
212,573,48,126
222,920,278,407
504,293,795,276
437,106,657,419
610,428,374,72
948,997,633,29
187,363,865,799
450,194,155,171
846,40,62,22
359,74,559,671
824,117,611,379
928,919,678,289
439,667,932,6
195,420,567,832
192,558,147,786
668,201,443,913
987,418,426,478
474,125,394,816
880,805,575,324
391,929,687,627
439,203,485,832
30,387,624,876
433,836,925,375
343,442,578,74
556,771,665,154
429,362,447,986
233,562,817,261
826,124,910,244
541,937,484,121
124,548,169,123
868,34,86,645
707,785,200,368
796,76,58,430
637,499,912,108
735,277,67,68
164,488,304,908
673,364,853,820
378,342,946,898
553,353,415,108
562,761,496,340
941,382,532,299
138,358,835,498
384,603,958,279
636,482,908,110
865,138,995,434
508,272,98,763
849,103,213,760
663,761,786,164
998,852,519,283
516,656,612,163
885,658,63,90
116,865,266,821
684,558,139,245
660,757,394,486
475,516,976,183
19,936,557,523
581,528,882,146
665,303,619,747
819,863,581,694
761,227,101,586
416,957,215,406
398,922,714,703
760,498,753,464
690,948,973,730
81,603,946,686
750,771,902,364
162,47,510,328
839,115,940,848
336,880,736,863
839,146,574,805
322,442,836,12
942,493,700,286
719,113,479,21
348,725,682,834
565,905,809,319
125,276,975,203
193,680,663,546
695,285,56,733
302,162,18,369
263,793,112,487
326,541,646,578
64,291,24,548
0,910,548,140
743,647,900,187
127,200,126,256
675,546,193,702
103,534,264,801
941,973,383,259
413,990,357,74
354,583,770,909
187,972,684,991
289,44,572,82
122,357,527,65
935,656,374,161
745,379,655,357
187,321,449,473
12,183,110,926
507,289,294,450
903,214,973,631
893,566,26,629
732,230,564,806
320,912,232,669
436,780,532,402
52,786,312,280
725,30,336,182
22,543,445,73
9,483,455,565
563,659,159,881
13,177,411,877
52,407,846,21
29,702,259,204
58,470,775,465
11,630,926,973
289,849,759,353
638,74,872,715
560,590,440,990
240,860,153,785
95,725,293,208
342,87,817,775
936,389,324,939
888,831,156,667
650,632,576,618
658,136,922,673
427,451,611,849
910,818,140,82
176,197,623,567
971,690,420,400
697,470,217,924
928,827,986,728
631,950,905,174
22,724,916,234
12,100,928,535
875,522,784,451
430,792,605,712
532,851,978,722
651,292,809,912
100,501,303,870
539,552,354,302
495,657,767,973
226,235,872,891
454,12,209,740
396,99,30,897
527,648,328,165
458,821,951,981
992,99,620,854
172,748,161,904
727,775,262,803
273,2,27,325
939,148,539,487
821,437,64,355
532,251,234,226
524,312,48,117
53,649,564,43
814,52,585,557
524,676,101,791
769,981,848,867
397,137,674,920
386,110,613,16
779,181,883,535
540,170,408,739
377,187,857,229
832,851,118,155
783,686,464,103
603,697,971,794
501,692,681,698
174,733,744,673
420,133,390,991
735,500,664,32
54,953,518,755
824,637,11,527
719,554,372,483
972,646,227,622
306,456,159,330
775,224,982,728
503,455,44,213
58,643,615,194
924,488,156,609
225,411,204,78
123,470,939,217
515,601,103,392
630,644,823,607
979,433,330,142
799,539,277,232
528,570,89,491
198,361,440,25
24,393,506,300
338,266,460,692
455,359,67,862
411,970,490,832
48,686,563,101
215,437,699,568
558,158,488,685
241,793,752,881
4,595,819,360
458,247,565,672
945,421,922,737
14,735,572,121
276,557,452,389
293,573,597,445
209,589,713,301
908,222,733,2
989,517,92,519
